Year,Week,VCI,TCI,VHI,Province_ID,Province_Name
1982,1,45.01,39.46,42.23,1,Cherkasy
1982,2,46.83,31.75,39.29,1,Cherkasy
1982,3,48.13,27.24,37.68,1,Cherkasy
1982,4,46.09,23.91,35.0,1,Cherkasy
1982,5,41.46,26.65,34.06,1,Cherkasy
1982,6,36.56,29.46,33.01,1,Cherkasy
1982,7,32.17,31.14,31.65,1,Cherkasy
1982,8,30.3,32.5,31.4,1,Cherkasy
1982,9,28.23,35.22,31.73,1,Cherkasy
1982,10,25.25,37.63,31.44,1,Cherkasy
1982,11,26.81,34.79,30.8,1,Cherkasy
1982,12,27.87,35.91,31.89,1,Cherkasy
1982,13,26.45,40.3,33.37,1,Cherkasy
1982,14,22.93,45.47,34.2,1,Cherkasy
1982,15,16.15,59.42,37.78,1,Cherkasy
1982,16,13.92,73.7,43.81,1,Cherkasy
1982,17,15.91,83.78,49.85,1,Cherkasy
1982,18,25.98,83.95,54.97,1,Cherkasy
1982,19,34.53,77.2,55.86,1,Cherkasy
1982,20,38.39,70.79,54.59,1,Cherkasy
1982,21,38.62,71.8,55.21,1,Cherkasy
1982,22,34.9,75.39,55.14,1,Cherkasy
1982,23,29.29,77.99,53.64,1,Cherkasy
1982,24,27.5,80.68,54.09,1,Cherkasy
1982,25,27.46,86.21,56.84,1,Cherkasy
1982,26,27.71,89.14,58.43,1,Cherkasy
1982,27,29.53,88.81,59.17,1,Cherkasy
1982,28,34.04,88.18,61.11,1,Cherkasy
1982,29,39.85,87.0,63.42,1,Cherkasy
1982,30,43.47,85.68,64.58,1,Cherkasy
1982,31,44.62,81.04,62.83,1,Cherkasy
1982,32,46.78,73.25,60.01,1,Cherkasy
1982,33,50.98,66.04,58.51,1,Cherkasy
1982,34,54.79,59.39,57.09,1,Cherkasy
1982,35,60.47,50.47,55.47,1,Cherkasy
1982,36,65.8,40.42,53.11,1,Cherkasy
1982,37,67.37,32.84,50.1,1,Cherkasy
1982,38,68.18,30.2,49.19,1,Cherkasy
1982,39,64.53,31.4,47.97,1,Cherkasy
1982,40,54.93,35.92,45.43,1,Cherkasy
1982,41,44.69,37.53,41.11,1,Cherkasy
1982,42,36.32,36.38,36.35,1,Cherkasy
1982,43,35.06,34.47,34.76,1,Cherkasy
1982,44,35.39,22.51,28.95,1,Cherkasy
1982,45,32.35,16.01,24.18,1,Cherkasy
1982,46,32.21,15.45,23.83,1,Cherkasy
1982,47,29.41,21.78,25.6,1,Cherkasy
1982,48,28.24,31.16,29.7,1,Cherkasy
